learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1300000.0,16.518981,0.0,1300000.0,95.09,88.9210281863484,89.06945681211042,85.17512077294685,96.43,92.61,1300000.0,0.0
1400000.0,18.626514,0.0,1400000.0,95.08,88.79346887010149,88.72852233676976,84.87549953888718,96.21,92.5,1400000.0,0.0
1500000.0,21.10067,0.0,1500000.0,94.94,88.5468786668096,88.38650447555658,84.5354523227384,96.15,92.13,1500000.0,0.0
1600000.0,23.679619,0.0,1600000.0,95.19999999999999,89.0789351361099,89.2134831460674,85.28058877644892,96.39,92.52,1600000.0,0.0
1700000.0,26.403753,0.0,1700000.0,94.95,88.52733302703206,88.59787762474599,84.56601466992666,96.31,92.25999999999999,1700000.0,0.0
1800000.0,29.202677,0.0,1800000.0,94.95,88.65659288255787,88.65678346810422,84.97917906008328,96.38,92.25,1800000.0,0.0
1900000.0,32.046492,0.0,1900000.0,95.52000000000001,89.79731268503758,89.90308767185036,86.21538461538462,96.53,92.75999999999999,1900000.0,0.0
2000000.0,35.256004,0.0,2000000.0,95.15,88.92549842563973,88.97727272727273,84.99845344880916,96.28,92.61,2000000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,0.438882,0.0,100000.0,94.69999999999999,87.93381739822414,87.76264142230431,83.64702252391237,95.87,91.96,100000.0,0.0
200000.0,1.010522,0.0,200000.0,95.19999999999999,89.06856872356272,88.94518654997697,85.21712349861409,96.36,92.5,200000.0,0.0
300000.0,1.749318,0.0,300000.0,94.65,87.91905086644117,87.92325056433408,83.88068695390179,95.99,91.97,300000.0,0.0
400000.0,2.543157,0.0,400000.0,95.39,89.63242283666446,89.6171171171171,86.19347109913147,96.34,92.41,400000.0,0.0
500000.0,3.462317,0.0,500000.0,94.57,87.75142733091013,87.71493212669684,83.64950316169828,96.35000000000001,92.12,500000.0,0.0
600000.0,4.499725,0.0,600000.0,95.15,89.13462119212159,89.22940262047524,85.58263971462546,96.39,92.44,600000.0,0.0
700000.0,5.712396,0.0,700000.0,94.94,88.35195279051071,88.17204301075269,84.18255704907784,96.39,92.60000000000001,700000.0,0.0
800000.0,7.078958,0.0,800000.0,94.78999999999999,88.32127024410293,88.13482122523342,84.46167611094542,96.15,92.22,800000.0,0.0
900000.0,8.555975,0.0,900000.0,94.75,88.10853280948665,87.98901853122855,84.14376321353065,96.43,92.17999999999999,900000.0,0.0
1000000.0,10.142429,0.0,1000000.0,94.96,88.52381306511965,88.44566712517195,84.5540913269997,96.43,92.46,1000000.0,0.0
1100000.0,11.90769,0.0,1100000.0,95.09,88.79028499889911,88.97620116748989,84.83163422922459,96.17,92.21000000000001,1100000.0,0.0
1200000.0,13.783544,0.0,1200000.0,95.41,89.65411287556697,89.63180483397333,86.22035424797356,96.41,92.78999999999999,1200000.0,0.0
1300000.0,15.737564,0.0,1300000.0,95.09,88.9210281863484,89.06945681211042,85.17512077294685,96.43,92.61,1300000.0,0.0
1400000.0,17.923863,0.0,1400000.0,95.08,88.79346887010149,88.72852233676976,84.87549953888718,96.21,92.5,1400000.0,0.0
1500000.0,20.408958,0.0,1500000.0,94.94,88.5468786668096,88.38650447555658,84.5354523227384,96.15,92.13,1500000.0,0.0
1600000.0,23.008174,0.0,1600000.0,95.19999999999999,89.0789351361099,89.2134831460674,85.28058877644892,96.39,92.52,1600000.0,0.0
1700000.0,25.676746,0.0,1700000.0,94.95,88.52733302703206,88.59787762474599,84.56601466992666,96.31,92.25999999999999,1700000.0,0.0
1800000.0,28.484043,0.0,1800000.0,94.95,88.65659288255787,88.65678346810422,84.97917906008328,96.38,92.25,1800000.0,0.0
1900000.0,31.35196,0.0,1900000.0,95.52000000000001,89.79731268503758,89.90308767185036,86.21538461538462,96.53,92.75999999999999,1900000.0,0.0
2000000.0,34.467938,0.0,2000000.0,95.15,88.92549842563973,88.97727272727273,84.99845344880916,96.28,92.61,2000000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,1.036207,0.0,100000.0,89.29,78.46524213673699,78.52846832397755,76.26329787234043,88.47,91.07,100000.0,0.0
200000.0,2.074989,0.0,200000.0,90.48,80.87900653102439,81.28563003735012,79.15024091108192,89.62,90.92,200000.0,0.0
300000.0,2.902657,0.0,300000.0,89.75,79.37630236135502,79.23419773095624,77.84741733304517,90.94,88.81,300000.0,0.0
400000.0,3.893676,0.0,400000.0,90.64999999999999,81.20343679176158,80.92226076310956,79.81433506044904,90.83,89.29,400000.0,0.0
500000.0,5.107705,0.0,500000.0,89.27000000000001,78.4278697929542,78.38436744560838,76.85504745470234,90.0,88.67,500000.0,0.0
600000.0,6.306094,0.0,600000.0,89.44,78.77882848924591,78.85462555066078,77.19714964370546,89.46,89.4,600000.0,0.0
700000.0,7.769379,0.0,700000.0,90.12,80.18557214441205,80.14469453376206,78.99659863945578,90.19,89.8,700000.0,0.0
800000.0,9.384625,0.0,800000.0,89.8,79.4735166305367,79.57139995994392,77.76324395029431,89.7,89.51,800000.0,0.0
900000.0,11.113372,0.0,900000.0,89.99000000000001,79.9067964407931,79.89556135770236,78.49624060150376,89.57000000000001,90.11,900000.0,0.0
1000000.0,13.035262,0.0,1000000.0,90.27,80.48745036231976,80.56720591172358,79.48988195615514,90.44,89.60000000000001,1000000.0,0.0
1100000.0,15.031712,0.0,1100000.0,90.06,80.03680538275208,80.32851771225013,78.69239013933547,90.31,89.67,1100000.0,0.0
1200000.0,17.061774,0.0,1200000.0,90.02,79.94452309442424,80.02801681008606,78.54686156491832,90.57,89.89,1200000.0,0.0
1300000.0,19.260953,0.0,1300000.0,90.27,80.42424621880131,80.71357779980178,78.90286209887249,90.64,89.52,1300000.0,0.0
1400000.0,21.846957,0.0,1400000.0,89.9,79.75179306893854,79.5753286147624,78.78151260504202,90.3,89.39,1400000.0,0.0
1500000.0,24.56631,0.0,1500000.0,89.96,79.83788049373575,79.29469993813156,78.43642611683848,90.27,89.32,1500000.0,0.0
1600000.0,27.337443,0.0,1600000.0,90.02,79.93739421649353,80.05994005994008,78.34671295291821,90.38000000000001,89.75,1600000.0,0.0
1700000.0,30.35222,0.0,1700000.0,90.38000000000001,80.6630779322583,80.78689834232077,79.28063751884558,90.66,89.75999999999999,1700000.0,0.0
1800000.0,33.400784,0.0,1800000.0,89.91,79.726628962349,79.4626501119479,78.16017316017316,90.12,89.64999999999999,1800000.0,0.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes)
100000.0,0.532047,0.0,100000.0,89.4,78.66422939705274,78.74899759422614,76.50709219858156,89.2,90.36999999999999,100000.0,0.0
200000.0,1.086703,0.0,200000.0,90.45,80.79833100299464,81.2266561824258,79.08453788874287,90.05,90.56,200000.0,0.0
300000.0,1.821577,0.0,300000.0,89.7,79.3014858358058,79.13290113452189,77.73935595418197,90.16999999999999,89.63,300000.0,0.0
400000.0,2.689525,0.0,400000.0,90.61,81.12749149269925,80.84064476637421,79.7279792746114,90.72,89.45,400000.0,0.0
500000.0,3.692325,0.0,500000.0,89.4,78.69702311397108,78.64625302175665,77.13546160483176,89.97,89.0,500000.0,0.0
600000.0,4.80701,0.0,600000.0,89.34,78.58041176646701,78.65438526231478,76.981213560786,89.45,89.32,600000.0,0.0
700000.0,6.15006,0.0,700000.0,89.89,79.71780342727796,79.68247588424438,78.5076530612245,90.2,89.60000000000001,700000.0,0.0
800000.0,7.667416,0.0,800000.0,89.98,79.81964726112938,79.93190466653314,78.15565729234794,90.3,89.17,800000.0,0.0
900000.0,9.289552,0.0,900000.0,90.03,79.97766012951662,79.97589877485439,78.58216970998926,90.01,89.69,900000.0,0.0
1000000.0,11.152103,0.0,1000000.0,90.23,80.40522240734418,80.48731775514281,79.40556492411467,90.5,89.37,1000000.0,0.0
1100000.0,13.084018,0.0,1100000.0,89.83,79.56415589112939,79.87334256877102,78.19935691318328,90.53,89.24,1100000.0,0.0
1200000.0,15.125964,0.0,1200000.0,90.0,79.8947708389896,79.98799279567741,78.50386930352536,90.69,89.7,1200000.0,0.0
1300000.0,17.373754,0.0,1300000.0,90.29,80.46143372751737,80.7532210109019,78.94622723330443,90.84,89.42,1300000.0,0.0
1400000.0,19.999646,0.0,1400000.0,89.88000000000001,79.71482084899489,79.53488372093024,78.73949579831934,90.21000000000001,89.42,1400000.0,0.0
1500000.0,22.710829,0.0,1500000.0,90.03,79.9803892149678,79.4390595999175,78.58676975945016,90.32,89.38000000000001,1500000.0,0.0
1600000.0,25.530681,0.0,1600000.0,89.86,79.61446735920381,79.74025974025975,77.99956606639184,90.45,89.64,1600000.0,0.0
1700000.0,28.431068,0.0,1700000.0,90.36999999999999,80.63992078088788,80.76692630317555,79.2590997200086,90.79,89.60000000000001,1700000.0,0.0
